"study","tot","updated_date","submission_center","submission_lab","platform","instrument_model","platform_parameters","study_title","study_url_link","study_alias","submission_date","study_abstract","study_description","year"
"SRP045296",622,"2016-05-25",NA,NA,"ILLUMINA","Illumina HiSeq 2500","INSTRUMENT_MODEL: Illumina HiSeq 2500","A Comprehensive Atlas of Arabidopsis Regulatory DNA [DAP-seq]",NA,"GSE60141",NA,"We have developed a high throughput, next-generation DNA sequencing assay for rapid transcription factor binding site (TFBS) discovery in a genomic context. DNA affinity purification sequencing (DAP-seq), which uses affinity-purified transcription factors (TFs) to capture genomic DNA fragments, was applied to all 1,725 Arabidopsis thaliana TFs. High confidence TFBS motifs for 529 TFs and genome-wide enrichment maps for 349 factors were identified. In total,~ 2.7 million TFBS were identified which predict thousands of TF target genes enriched for known and novel functions.. Comparison of TF-binding using cytosine-methylated and -unmethylated genomic DNA revealed a 2-50 fold inhibition at methylated motifs for ~82% (264) of factors tested while 4.6% (15) showed stronger binding to methylated motifs. Finally, we describe how binding of Arabidopsis and maize Auxin Response Factors (ARFs) at phased motif repeats is highly enriched at ARF target gene promoters and how this architecture may allow for stabilization of dimers/multimers. Overall design: Identification of sequence motifs for 530 transcription factors (529 Arabidopsis thaliana, 1 Zea mays) and genome-wide binding sites for 350 transcription factors (349 Arabidopsis thaliana, 1 Zea mays) by direct sequencing of affinity purified genomic DNA fragments.  Idenfication of binding sites for 343 transcription factors (Arabidopsis thaliana) by direct sequencing of affinity purified, PCR amplified DNA libraries. Comparison to ChIP-Seq for ABI5 (AT2G36270). The 530 transcription factors refer to the number of unique proteins  assayed on non-amplified DNA libraries (i.e. characteristics: DNA  source = col or zm).  Additional 5 factors have only data on amplified libraries (i.e. characteristics: DNA source = colamp), which do not represent the natural DNA methylation state of   the organism (therefore not counted; more details in the description field). A subset of 350 of the 530 have both motif and TFBS identification (i.e. characteristics: subset = TFBS+motif), and the rest 180 have only motif identification (i.e. characteristics: subset = motif).",NA,"2016"
"SRP017111",619,"2013-08-05","University of Minnesota","Muehlbauer's Lab","ILLUMINA","Illumina HiSeq 2000","INSTRUMENT_MODEL: Illumina HiSeq 2000","Zea mays Transcriptome or Gene expression",NA,"PRJNA179160",NA,"Gene transcription is an essential step of gene function and transcriptome variation is of agronomical, ecological and evolutionary importance. To explore global expression patterns and dissect the underlying genetic mechanisms are important scientific inquires which are still largely unknown, especially between a segregating population and the parents. In our study, we used RNA-Seq to profile the shoot apex transcriptome variation (including protein coding genes and non-coding genes) in maize IBM RIL population, to map eQTLs underlying the transcriptome variations and to utilize eQTLs to clone genes involved in maize shoot apices development. We revealed that: Much of the variation (the population mean, the coefficient of variation) of gene expression levels in RILs is reflective of differences present among the parents; These transcriptome variations could be explained by 30,774 eQTLs with 96 trans-eQTL hotspots; In many cases, the genes commonly regulated by a trans-eQTL hotspot are enriched for a specific function or act in the same genetic pathway; Structural variation within and near genes contributs to cis-regulatory variation. All of these results indicate Mendelian factors play as major contributors to the transcriptome variation. Meanwhile, non-Mendelian regulations were also observed as paramutation-like expression pattern for 145 genes, of which 88% genes were predicted to be potential targets of miRNAs or ta-siRNAs, and as unexpected presence/absence expression patterns for 210 genes. These genes with unexpected presence/absence expression patterns in the RILs likely include examples of functional genes as well as transposed gene fragments that may contribute to regulatory variation of their ancestral syntenic genes.",NA,"2013"
"SRP045603",588,"2016-07-30",NA,NA,"ILLUMINA","Illumina HiSeq 2500","INSTRUMENT_MODEL: Illumina HiSeq 2500","Zea mays subsp. mays PH207 Genome sequencing and assembly",NA,"PRJNA258455",NA,"Genome sequencing and assembly of Zea mays subsp. mays PH207",NA,"2016"
"SRP014211",572,"2014-06-17","GEO",NA,"ILLUMINA","Illumina Genome Analyzer","INSTRUMENT_MODEL: Illumina Genome Analyzer","Zea mays Epigenomics",NA,"GSE39232",NA,"Methylation of chromosomal DNA in animals and plants is a fundamental mechanism of epigenetic regulation, and the maize genome, with its diverse complement of transposons and repeats, is a paradigm for transgenerational mechanisms such as paramutation and imprinting. We have determined the genome-wide cytosine methylation map of two maize inbred lines, B73 and Mo17, at high coverage and at single nucleotide resolution. Transposon methylation is highest in CG (65%) and CHG (50%) contexts (where H = A, C or T), while methylation in CHH (5%) contexts is guided by 24nt small interfering RNA (siRNA), and not by 21-22nt siRNA. We have found that CG (8%) methylation seems to deter insertion of Mutator transposons into exons, while CHH and CHG methylation at splice donor and acceptor sites strongly inhibits RNA splicing. Methylation differences between parents are inherited in recombinant inbred lines, but methylation switches, guided by siRNA, are widespread and persist for up to 8 generations. These differences influence splicing, and recurrent switching suggest that paramutation is much more common than previously supposed, and may contribute to heterosis.  Our results provide a comprehensive high resolution resource for maize genome methylation, as well as a map of recurrent transgenerational epigenetic shifts (paramutation) in the two most commonly used inbred maize lines. Overall design: Genome-wide cytosine methylation map in 2 maize strains by bisulfite sequencing, and RNA and small RNA profiles in the same tissue using Illumina platform.",NA,"2014"
"SRP011480",512,"2013-07-29","Iowa State University","Schnable Lab","ILLUMINA","Illumina HiSeq 2000","INSTRUMENT_MODEL: Illumina HiSeq 2000","The Zeanome",NA,"NSF-CNV-NAM","2012-03-14","Maize exhibits levels of structural variation (SV) of non-repeat sequences that are unprecedented among higher eukaryotes. This SV includes hundreds of copy number variants (CNVs) and thousands of presence/absence variants (PAVs). Many of the PAVs contain intact, expressed, single-copy genes that are present in one haplotype but absent from another. The goal of this project is to test the hypothesis that differences in gene copy number (both gains and losses) contribute to the extraordinary phenotypic diversity and plasticity of maize. Maize is a good model for these studies because it exhibits a rapid decay of linkage disequilibrium (LD) and because a draft genome sequence of the B73 inbred and mapping populations are available. As a first step, the Zeanome, a near-complete set of genes present in B73, other maize lines and the wild ancestor of maize (teosinte), is being defined using transcriptomic data.",NA,"2013"
"SRP022245",494,"2013-06-28","Cornell University","Institute for Genomic Diversity","ILLUMINA","Illumina HiSeq 2000","INSTRUMENT_MODEL: Illumina HiSeq 2000","Zea mays Other",NA,"PRJNA201040",NA,"The project will exploit and optimize next generation sequencing technologies as high-throughput genotyping assays for maize and sorghum varieties important to smallholder farmers in sub-Saharan Africa (SSA) and other semi-arid tropical regions of the world. Using next generation sequencing technologies combined with high levels of multiplexing and very inexpensive sample preparation methods, we will establish a platform to provide 100,000 - 1 million markers per sample for a cost substantially below current field trials costs. This integrated platform will produce robust protocols for the entire pipeline from DNA preparation to bioinformatic analyses that are essential for genomic selection algorithms. Algorithms and software will be developed to determine allelism and genotypes without the need for reference genome sequence. Moreover, these approaches will be generalized so in the future any large number of individuals of any species can be genotyped with equal ease.",NA,"2013"
"SRP013705",462,"2014-07-09","MSU-BUELL",NA,"ILLUMINA","Illumina HiSeq 2000","INSTRUMENT_MODEL: Illumina HiSeq 2000","Zea mays subsp. mays Genome Sequence",NA,"PRJNA168265","2012-06-11","Zea mays subsp. mays Genome Sequence",NA,"2014"
"SRP044069",451,"2015-07-17","Academia Sinica","Wen-Hsiung Li","ILLUMINA","Illumina HiSeq 2000","INSTRUMENT_MODEL: Illumina HiSeq 2000","Zea mays subsp. mays strain:White Crystal Transcriptome or Gene expression",NA,"PRJNA253977",NA,"Maize is a common model plant for studying C4 leaf development because, as a major crop, its genetics is well studied and its genome has been sequenced. However, the regulatory network that controls leaf development remains poorly understood. To tackle this issue, several leaf transcriptomic studies have been conducted. These studies have identified genes differentially expressed between mesophyll and bundle sheath cells or between different regions of a leaf. They have also provided a global picture of the transcriptional dynamics of genes in developing leaves during seed germination. Moreover, one study has identified cohorts of genes associated with procambium initiation and vascular patterning. In the present and a previous study, we have obtained 22 transcriptomes with a time span from hour 0 (dry seeds) to hour 192 post imbibition. Using these time series data, we studied gene up- and down-regulation and functional transition during leaf development, and we inferred 30 sets of strongly coexpressed genes, which showed different functional enrichments. More significantly, we developed methods to predict TF binding sites (TFBSs) and their cognate TFs. In addition, for a TF-TFBS pair known in one species, we developed a method to predict its orthologous TF-TFBS pair in another species. From these efforts, we predicted 1,459 TFBSs and 250 TF-TFBS pairs in the maize genome. Experimental tests of our predicted TF-TFBS pairs showed that our methods perform well. Thus, our study has greatly expanded the information of maize gene regulation during leaf development.",NA,"2015"
"SRP015339",450,"2013-07-29","MSU-BUELL",NA,"ILLUMINA","Illumina HiSeq 2000","INSTRUMENT_MODEL: Illumina HiSeq 2000","Zea mays Transcriptome or Gene expression",NA,"PRJNA174231","2012-08-31","ProVitamin A and Vitamin E biosynthesis in Zea mays.",NA,"2013"
"SRP047528",449,"2014-11-06","GEO",NA,"ILLUMINA","Illumina HiSeq 2000","INSTRUMENT_MODEL: Illumina HiSeq 2000","Zea mays Transcriptome or Gene expression",NA,"GSE61810",NA,"Modification of cis regulatory elements to produce differences in gene expression level, localization, and timing is an important mechanism by which organisms evolve divergent adaptations. To examine gene regulatory change during the domestication of maize from its wild progenitor, teosinte, we assessed allele-specific expression in a collection of maize and teosinte inbreds and their F1 hybrids using three tissues from different developmental stages. Our use of F1 hybrids represents the first study in a domesticated crop and wild progenitor that dissects cis and trans regulatory effects to examine characteristics of genes under various cis and trans regulatory regimes. We find evidence for consistent cis regulatory divergence that differentiates maize from teosinte in approximately 4% of genes. These genes are significantly correlated with genes under selection during domestication and crop improvement, suggesting an important role for cis regulatory elements in maize evolution. Overall design: We assayed genome-wide cis and trans regulatory differences between maize and its wild progenitor, teosinte, using deep RNA sequencing in F1 hybrid and parent inbred lines for three tissue types (ear, leaf and stem) followed by assessment of allele-specific gene expression.",NA,"2014"
"SRP047362",431,"2015-01-02","Huazhong Agricultural University","National Key Laboratory of Crop Genetic Improvemen","ILLUMINA","Illumina HiSeq 2000","INSTRUMENT_MODEL: Illumina HiSeq 2000","Zea mays Genome sequencing",NA,"PRJNA261658",NA,"We sequenced the single microspores of the same single tetrads, to analyze meiotic recombination and genetic interference.",NA,"2015"
"ERP011069",408,"2015-10-22","VIB DEPARTMENT OF PLANT SYSTEMS BIOLOGY, GHENT UNI","European Nucleotide Archive","ILLUMINA","Illumina HiSeq 2000","INSTRUMENT_MODEL: Illumina HiSeq 2000","Transcriptome analysis of 103 RILs of a B73 x H99 RIL population","E-MTAB-3758 in ArrayExpress: http://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-3758","E-MTAB-3758",NA,"The RIL population used in this study is derived from a cross between parental lines B73 and H99, followed by 12 generations of self-pollination. In total 142 RILs were generated and 223 markers were used for mapping these RILs (Marino et al. (2009) Mol Genet Genomics, 281:163-179). The transcriptome of a randomly chosen subset of 103 RILs was analyzed in this study using RNA-seq.","The RIL population used in this study is derived from a cross between parental lines B73 and H99, followed by 12 generations of self-pollination. In total 142 RILs were generated and 223 markers were used for mapping these RILs (Marino et al. (2009) Mol Genet Genomics, 281:163-179). The transcriptome of a randomly chosen subset of 103 RILs was analyzed in this study using RNA-seq.","2015"
"SRP021921",359,"2015-12-23","Cornell","Buckler Lab","ILLUMINA","Illumina Genome Analyzer IIx","INSTRUMENT_MODEL: Illumina Genome Analyzer IIx","Zea mays Targeted Locus (Loci)","Panzea Projct: http://www.panzea.org/","PRJNA200550",NA,"Evaluation of genetic diversity across the USA maize inbred seed bank using GBS.",NA,"2015"
"SRP011991",355,"2013-10-28",NA,NA,"ILLUMINA","Illumina HiSeq 2000","INSTRUMENT_MODEL: Illumina HiSeq 2000","Maize single base resolution methylome in B73 and Mo17 inbred line and their reciprocal hybrid",NA,"EndoDNAmethylome",NA,"Maize single base resolution methylome in B73 and Mo17 inbred line and their reciprocal hybrid",NA,"2013"
"ERP012784",350,"2016-03-04",NA,"European Nucleotide Archive","ILLUMINA","Illumina HiSeq 2000","INSTRUMENT_MODEL: Illumina HiSeq 2000",NA,NA,NA,NA,NA,NA,"2016"
"SRP067358",308,"2016-01-27","UH Manoa","Presting Lab","ILLUMINA","Illumina HiSeq 2000","INSTRUMENT_MODEL: Illumina HiSeq 2000","Zea mays subsp. mays Epigenomics",NA,"PRJNA305893",NA,"In 23 inbreds of domesticated maize (n=10), partial or nearly complete loss of the tandem DNA repeat CentC is associated with 57 independent cenH3 relocation (neocentromere formation) events affecting 60% of all centromeres examined. Chromosomal regions that have acquired cenH3 either by expansion of the cenH3 domain or its relocation by up to four Mb from the original centromere location, are colonized by the centromere-specific retrotransposon CR2 at a rate that would result in centromere-sized (1.8 Mb) CR2 clusters in 20,000-90,000 years.",NA,"2016"
"ERP011838",308,"2015-12-02",NA,"European Nucleotide Archive","ILLUMINA","Illumina HiSeq 2000","INSTRUMENT_MODEL: Illumina HiSeq 2000","High-resolution transcript analysis of the defense responses to Colletotrichum graminicola infection in maize genotypes with contrasting anthracnose resistance","E-MTAB-3847 in ArrayExpress: http://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-3847","E-MTAB-3847",NA,"Anthracnose caused by the ascomycete Colletotrichum graminicola is one of the most severe fungal diseases of Zea maize. Cultivars with different levels of resistance have been described. However, which genes contribute to cultivar-specific constitutive and/or induced defense in this economically important pathosystem is still elusive. Transcriptome analyses of infected maize leaves of varieties Golden Jubilee (GJ) and B73 by RNA-Seq was performed for the penetration, biotrophic and necrotrophic phases.","Anthracnose caused by the ascomycete Colletotrichum graminicola is one of the most severe fungal diseases of Zea maize. Cultivars with different levels of resistance have been described. However, which genes contribute to cultivar-specific constitutive and/or induced defense in this economically important pathosystem is still elusive. Transcriptome analyses of infected maize leaves of varieties Golden Jubilee (GJ) and B73 by RNA-Seq was performed for the penetration, biotrophic and necrotrophic phases.","2015"
"ERP001435",301,"2016-06-28","IPK-Gatersleben",NA,"ILLUMINA","Illumina Genome Analyzer IIx","INSTRUMENT_MODEL: Illumina Genome Analyzer IIx","Whole genome shotgun survey sequencing  of Barley cv. Morex for de novo assembly of gene-space",NA,"Morex_WGS",NA,"Barley (Hordeum vulgare L.) is amongst the oldest domesticated crop plants and remains one of the worldÃ¢â‚¬â„¢s most important crop species. It is diploid with a haploid genome of 5.1 gigabases (Gb), twice the size of those of human and maize, and closely related to the most widely grown crop, hexaploid wheat. To meet global demand for food, feed and fibre, it is commonly agreed that reference genome sequences of our crop plants are urgently required to enable genome-assisted crop improvement. In the framework of the The International Barley Genome Sequencing Consortium (IBSC) we present here the whole genome shotgun rawdata of different barley cultivars and genotypes to build a physical ordered genetic and functional sequence resource.",NA,"2016"
"SRP037561",290,"2014-06-06","University of Nebraska-Lincoln",NA,"ILLUMINA","Illumina HiSeq 2000","INSTRUMENT_MODEL: Illumina HiSeq 2000","Diabrotica virgifera virgifera Transcriptome",NA,"PRJNA235884",NA,"To identify the transcribed genes from the gut of western corn rootworm larvae, the transcriptomes of three different developmental stages (eggs, neonates, and midgut from third instar larvae) were sequenced using next-generation technologies.",NA,"2014"
"SRP067440",281,"2016-06-01",NA,NA,"PACBIO_SMRT","PacBio RS II","INSTRUMENT_MODEL: PacBio RS II","Zea mays Genome sequencing and assembly","GOLD: http://genomesonline.org/cgi-bin/GOLD/bin/GOLDCards.cgi?goldstamp=Gi00705 || maizesequence: http://www.maizesequence.org/overview.html || Washington University Genome Sequencing Center: http://genome.wustl.edu/genome.cgi?GENOME=Zea%20mays%20mays%20cv.%20B73","PRJNA10769",NA,"Due to the known large amount of repetitive DNA in the maize genome in conjunction with the fact that maize is a diploidized tetraploid there have been questions regarding the efficacy of alternative strategies for sequencing of the maize genome. One proposed approach was to sequence individual BAC clones from a tiling path defined by combining genetic and physical mapping. Another focused on the non-repetitive (gene-rich) sequences while a third examined the most cost-effective method to determine the nucleotide sequence for the entire genome by examining a small portion. The National Science Foundation funded three sequencing projects in maize that tested the sequencing strategies for large plant genomes, using maize as an example.  The <a href=https://www.nsf.gov/awardsearch/showAward?AWD_ID=9872655>first </a> project funded under the NSF Plant Genome Initiative, toward genetic and physical mapping, was awarded to Ed Coe and colleagues at the University of Missouri along with Rod Wing of the University of Arizona and Andrew Paterson of the University of Georgia.  The question under test for maize was whether fingerprinted BACs could be assembled into contigs and pseudochromosomes. By combining genetic and physical strategies they derived a high-resolution genetic map; constructed and fingerprinted 450,000 BACs and assembled them into contigs; and anchored assemblies onto the genetic map, integrating the physical elements in genetic map order. These data and materials were staged for subsequent selection of a minimum tiling path and BAC-by-BAC sequencing, once the feasibility of this approach was demonstrated.   The <a href=https://www.nsf.gov/awardsearch/showAward?AWD_ID=0221536>test project for non-repetitive sequences</a> was awarded to the Consortium for Maize Genomics. They tested two strategies, <b>methyl-filtration</b> and <b>high-Cot selection</b>, as a method to exclude repetitive DNA from the input to sequencing. The consortium members are The Donald Danforth Plant Science Center, TIGR, Purdue University, and Orion Genomics. The underlying premise is that knowing the nucleotide sequence of the gene-space will be sufficient.  The <a href=https://www.nsf.gov/awardsearch/showAward?AWD_ID=0211851>test project for sequencing and examining a portion of the genome</a> was awarded to Jo Messing at Rutgers University  along with Rod Wing and Cari Soderlund from the University of Arizona. They proposed to use a modified BAC-by-BAC sequencing strategy. They have sequenced about 20 Mb of the maize genome represented in 140 BAC clones. Sequencing was carried out at  the Whitehead Institute/MIT Center for Genome Research.  The Arizona Genomics Institute has sequenced about 450,000 BAC ends which aid in aligning BAC sequences to the genetic map using co-linearity of these sequences with the rice genomic sequence. Also a FPC map was produced by the Arizona Genomics Institute.  The results of the two preliminary genome sequencing efforts showed that the BAC-by-BAC approach was the only method suitable for reasonable quality data. Thus an  <a href=http://www.csrees.usda.gov/newsroom/news/2005news/maize_genome.html>interagency grant</a> from the <a href=http://nsf.gov/news/news_summ.jsp?cntn_id=104608>NSF</a>, the USDA and the DOE funded the <a href=http://www.nsf.gov/awardsearch/showAward?AWD_ID=0527192>3 year project</a> to sequence the B73 cultivar at the <a href=http://genome.wustl.edu/genomes/detail/zea-mays-mays-cv-b73>Washington University Genome Sequencing Center</a>. The first draft release was announced on February 28, 2007 at the 50th Maize Genetics Conference.",NA,"2016"
"SRP052053",265,"2015-07-17","Universita degli Studi di Udine",NA,"ILLUMINA","Illumina HiSeq 2500","INSTRUMENT_MODEL: Illumina HiSeq 2500","Zea mays subsp. mays Genome sequencing",NA,"PRJNA272385",NA,"The analysis of variation in plants has revealed that their genomes are characterised by high levels of structural variation, consisting of both smaller insertion/deletions, mostly due to recent insertions of transposable elements, and of larger insertion/deletion similar to those termed in humans Copy Number Variants (CNVs). These observations indicate that a single genome sequence might not reflect the entire genomic complement of a species, and prompted us to introduce the concept of the plant pan-genome, including core genomic features common to all individuals and a Dispensable Genome (DG) composed of partially shared and/or non shared DNA sequence elements. The very active transposable element systems present in many plant genomes may account for a large fraction of the DG. The mechanisms by which the CNV-like variants are generated and the direction of the mutational events are still unknown. Uncovering the intriguing nature of the DG, i.e. its composition, origin and function, represents a step forward towards an understanding of the processes generating genetic diversity and phenotypic variation. Additionally, since the DG clearly appears to be for the most part the youngest and most dynamic component of the pan genome, it is of great interest to understand whether it is a major contributor to the creation of new genetic variation in plant evolution and more specifically in the breeding process.",NA,"2015"
"SRP067405",263,"2016-01-06","Donald Danforth Plant Science Center","Brutnell","ILLUMINA","Illumina HiSeq 2000","INSTRUMENT_MODEL: Illumina HiSeq 2000","Dichanthelium oligosanthes Raw sequence reads",NA,"PRJNA305932",NA,"Dichanthelium oligosanthes is a C3 panicoid grass that shares recent common ancestors with Sorghum bicolorand Setaria viridis, which represent two lineages that independently evolved C4 photosynthesis. Thus, D. oligosanthes is ideally placed to serve as an in-group for panicoid comparative genomics. Here we report the assembly of the nuclear and chloroplast genomes of D. oligosanthes, from high-throughput short read sequencing data, as well as a comparative transcriptomics analysis of the developing leaf of D. oligosanthes, S. bicolor, and S. viridis. Physiological and anatomical characterizations verified that D. oligosanthes utilizes the C3 pathway for carbon fixation and lacks Kranz anatomy. Expression profiles of transcription factors (TFs) along developing leaves of D. oligosanthes, S. bicolor, and S. viridis were compared with previously published data from, Zea mays and Oryza sativa to identify a small suite of TFs that likely acquired functions specifically related to C4 photosynthesis.",NA,"2016"
"SRP077020",257,"2016-06-28","GEO",NA,"ILLUMINA","Illumina HiSeq 2500","INSTRUMENT_MODEL: Illumina HiSeq 2500","Barley transcriptional responses to specialist and generalist spider mite herbivores",NA,"GSE83676",NA,"Spider mites, including the two-spotted spider mite (Tetranychus urticae, TSSM) and the Banks grass mite (Oligonychus pratensis, BGM), are becoming increasingly important agricultural pests. The TSSM is an extreme generalist documented to feed on more than 1100 plant hosts. In contrast, the BGM is a grass specialist, with hosts including important cereal crops like maize, wheat, sorghum and barley. Historically, studies of plant-herbivore interactions have focused largely on insects. However, far less is known about plant responses to spider mite herbivores, especially in grasses, and whether responses differ between generalists and specialists. To identify plant defense pathways responding to spider mites, we collected time course RNA-seq data from barley (Hordeum vulgare L.) infested with TSSMs and BGMs. Additionally, and as a comparison to the physical damage caused by spider mite feeding, a wounding treatment was also included. Overall design: The experiment was performed with four biological replicates across each of the following (28 samples in total): no infestation (C, control), 2hr after wounding (W2), 24hr after wounding (W24), 2hr after TSSM infestation (T2), 24hr after TSSM infestation (T24), 2hr after BGM infestation (B2), and 24hr after BGM infestation (B24).",NA,"2016"
"SRP031872",250,"2013-11-13","University of Minnesota","Springer Lab","ILLUMINA","Illumina HiSeq 2000","INSTRUMENT_MODEL: Illumina HiSeq 2000","Zea mays Transcriptome or Gene expression",NA,"PRJNA223677",NA,"RNAseq of maize hybrids to discover imprinted genes.",NA,"2013"
"SRP020239",242,"2015-11-16","MSU-BUELL",NA,"ILLUMINA","Illumina HiSeq 2000","INSTRUMENT_MODEL: Illumina HiSeq 2000","Zea mays subsp. mays Genome sequencing",NA,"PRJNA194561",NA,"Whole genome resequencing from 48 pooled individuals from Golden Glow cycle 0 and from 48 individuals after thirty cycles of selection for increased number of ears per plant.",NA,"2015"
"SRP056961",241,"2016-06-30","GEO",NA,"ILLUMINA","Illumina HiSeq 2500","INSTRUMENT_MODEL: Illumina HiSeq 2500","The clock-mediated transcriptional regulatory networks contribute to biomass heterosis in maize",NA,"GSE67655",NA,"we determine genome-wide binding profiles of a maize CCA1 homolog, ZmCCA1b, in maize inbreds and F1 hybrids at different times of the day. ZmCCA1b is characterized as a central clock regulator gene with evolutionarily conserved molecular and circadian functions and nonadditively expressed in F1 hybrid seedlings. ZmCCA1b binds to over 4,300 target genes in the maize genomes, of which annotation confirms energy metabolic pathways as the main output. We report that an altered temporal binding activity of ZmCCA1b in the hybrid seedlings, which increases expression of carbon fixation genes, increases carbon fixation rates and biomass, demonstrating a novel example of how circadian-regulatory networks directly contribute to growth vigor in maize hybrids. These results collectively offer new insights into clock-mediated regulation of growth vigor in hybrid plants and crops. Overall design: Profiling genome-wide binding events of ZmCCA1b in the maize inbreds and F1 hybrids at ZT3, ZT9 and ZT15 using chromatin immunoprecipitation followed by deep sequencing (ChIP-seq). 2 biological replicates for each sample were used. Input DNA sample corresponding to each ChIP sample was also sequenced in parallel. We have developed a native antibody for the protein (GRMZM2G014902; epitope: residues 11-77) for the ChIP-seq study.",NA,"2016"
"SRP018832",234,"2015-09-02","sichuan agricultural university","pan's lab","ILLUMINA","Illumina HiSeq 2000","INSTRUMENT_MODEL: Illumina HiSeq 2000","Zea mays Genome sequencing",NA,"PRJNA189995","2012-10-25","High throughput resequence IBM syn10 DH population.",NA,"2015"
